year,month,inflation_1
1974,4,6.883693
1974,5,12.01069
1974,6,10.11145
1974,7,7.566704
1974,8,13.39428
1974,9,12.34267
1974,10,9.006326
1974,11,9.680984
1974,12,7.246837
1975,1,4.855838
1975,2,6.371189
1975,3,4.738003
1975,4,4.71948
1975,5,5.566699
1975,6,9.340268
1975,7,12.3889
1975,8,4.665991
1975,9,5.350513
1975,10,6.864336
1975,11,6.061113
1975,12,5.269925
1976,1,3.040442
1976,2,3.720887
1976,3,3.778037
1976,4,5.200997
1976,5,6.673568
1976,6,7.379198
1976,7,5.857414
1976,8,5.09352
1976,9,5.072093
1976,10,5.117023
1976,11,3.575525
1976,12,5.014266
1977,1,6.435108
1977,2,12.05445
1977,3,6.336976
1977,4,9.123064
1977,5,6.255971
1977,6,7.616233
1977,7,4.105433
1977,8,4.782352
1977,9,2.760079
1977,10,4.065748
1977,11,5.420399
1977,12,4.033883
1978,1,6.056223
1978,2,7.374409
1978,3,8.668254
1978,4,9.873637
1978,5,10.45107
1978,6,11.01275
1978,7,5.79318
1978,8,5.119508
1978,9,7.025764
1978,10,7.623123
1978,11,6.306279
1978,12,6.273224
1979,1,9.946648
1979,2,11.10651
1979,3,10.38971
1979,4,11.51951
1979,5,13.76667
1979,6,11.87701
1979,7,9.987637
1979,8,9.318593
1979,9,10.41078
1979,10,9.167216
1979,11,6.281625
1979,12,9.620259
1980,1,14.00574
1980,2,14.95696
1980,3,14.77275
1980,4,8.707769
1980,5,10.17003
1980,6,8.57234
1980,7,7.396264
1980,8,9.999892
1980,9,11.96707
1980,10,7.265405
1980,11,7.174647
1980,12,7.693233
1981,1,10.61418
1981,2,15.06089
1981,3,9.936591
1981,4,6.880011
1981,5,7.334265
1981,6,6.843737
1981,7,9.197388
1981,8,8.644333
1981,9,9.498251
1981,10,5.220479
1981,11,4.722268
1981,12,4.229963
1982,1,6.531282
1982,2,3.765132
1982,3,1.835451
1982,4,1.875277
1982,5,8.318006
1982,6,11.90948
1982,7,8.179443
1982,8,2.243804
1982,9,5.880264
1982,10,5.358331
1982,11,1.808168
1982,12,0.903063
1983,1,2.664138
1983,2,0.409372
1983,3,0.8182
1983,4,8.558391
1983,5,6.479959
1983,6,4.032262
1983,7,4.820824
1983,8,4.002672
1983,9,5.979086
1983,10,3.176779
1983,11,1.981179
1983,12,1.582568
1984,1,6.702875
1984,2,5.491976
1984,3,2.736532
1984,4,5.843219
1984,5,3.492417
1984,6,3.868475
1984,7,3.856044
1984,8,4.994358
1984,9,5.737063
1984,10,3.048542
1984,11,0
1984,12,0.760985
1985,1,2.279948
1985,2,4.92498
1985,3,5.281344
1985,4,4.883469
1985,5,4.490115
1985,6,3.729027
1985,7,1.860177
1985,8,2.599458
1985,9,3.703707
1985,10,3.692311
1985,11,4.048485
1985,12,2.935736
1986,1,3.659655
1986,2,-3.293165
1986,3,-5.508809
1986,4,-2.579503
1986,5,3.683244
1986,6,5.869799
1986,7,0.365932
1986,8,2.193139
1986,9,5.828813
1986,10,1.089709
1986,11,1.08872
1986,12,1.087844
1987,1,7.226761
1987,2,4.308729
1987,3,5.364409
1987,4,6.405601
1987,5,4.251591
1987,6,4.236581
1987,7,3.167622
1987,8,6.310269
1987,9,6.27726
1987,10,3.126359
1987,11,1.040348
1987,12,0
1988,1,3.115431
1988,2,3.107574
1988,3,5.161263
1988,4,6.164397
1988,5,4.092111
1988,6,5.095515
1988,7,5.073969
1988,8,5.052708
1988,9,8.040197
1988,10,3.999936
1988,11,0.998057
1988,12,1.993322
1989,1,5.960278
1989,2,4.944349
1989,3,6.888122
1989,4,7.823956
1989,5,6.804426
1989,6,2.904398
1989,7,2.897386
1989,8,1.927679
1989,9,3.84619
1989,10,5.74622
1989,11,2.862824
1989,12,1.90473
1990,1,12.30783
1990,2,5.638225
1990,3,6.544558
1990,4,1.863323
1990,5,2.789618
1990,6,6.484031
1990,7,4.61004
1990,8,10.99254
1990,9,9.988676
1990,10,7.212614
1990,11,2.693695
1990,12,0
